strCodigo,strNombre,strCodProv
29 SE,29 DE SEPTIEMBRE,PIC
ACHU,ACHULLAY,CHI
ACHUP,ACHUPALLAS,CHI
AHUA,AHUANO,NAPO
ALA,ALAUSI,CHI
ALAM,ALAMOR,LOJ
ALAN,ALANGASI,PIC
ALAT,ALAQUEZ,PP
ALI,ALICANTE,VAL
ALLU,ALLURIQUIN,PIC
ALO,ALOASI,PIC
ALOG,ALOAG,PIC
AMA,AMAGUAÑA,PIC
AMB,AMBATO,TUN
AML,AMALUZA,LOJ
AMZ,AMAZONAS,SUCBI
ANGEL,EL ANGEL,CARCH
ARAJ,ARAJUNO,PAST
ARCHI,ARCHIDONA,NAPO
ARE,ARENILLAS,ELORO
ARM,ARMENIA,ORELA
AROTO,AROSEMENA TOLA,NAPO
ATAC,ATACAMES,ESM
ATAHU,ATAHUALPA,TUN
ATUN,ATUNTAQUI,IMB
AZO,AZOGUEZ,CAÑAR
BACAR,BAHIA DE CARAQUEZ,MANA
BAEZ,BAEZA,NAPO
BAHOY,BABAHOYO,LRIOS
BAL,BALSAS,ELORO
BALAG,BALAO GRANDE,GUA
BALE,BALER,AURO
BALLE,BALLENITA,GUA
BALSA,BALSAPAMBA,BOL
BALZ,BALZAR,GUA
BAÑ,BAÑOS,TUN
BARR,BARRANCABERMEJA,SAN
BASHU,BAYUSHIG,CHI
BAT,BATZACON,CHI
BAY,BAYAS,CAÑAR
BELLA,BELLAMARIA,ELORO
BEQU,BELISARIO QUEVEDO,PP
BIBLI,BIBLIAN,CAÑAR
BOLIV,BOLIVAR,CARCH
BORBO,BORBON,ESM
BORJA,BORJA,NAPO
BORRE,BORRERO,CAÑAR
BUCAY,BUCAY,GUA
BUEFE,BUENA FE,LRIOS
CACHA,CACHA,CHI
CACHI,CACHISAGUA,BOL
CAJAB,CAJABAMBA,CHI
CAL,CALCETA,MANA
CALMA,CALUMA,BOL
CALPI,CALPI,CHI
CAÑAR,CAÑAR,CAÑAR
CANE,CANELOS,PAST
CAP,CAPIRO,ELORO
CAPU,CAPULISPUNGO,CHI
CAR.,CARACAS,DIST.
CARIA,CARIAMANGA,LOJ
CARP,CARPUELA,IMB
CASCA,CASCALES,SUCBI
CATA,CATACOCHA,LOJ
CATAR,CATARAMA,LRIOS
CAYA,CAYAMBE,PIC
CAYO,CATAMAYO,LOJ
CCHIM,CHIMBORAZO,CHI
CEBAS,CEBADAS,CHI
CELI,CELICA,LOJ
CEVAL,CEVALLOS,TUN
CHA,CHAMBO,CHI
CHACO,EL CHACO,NAPO
CHAMA,CHAMANGA,ESM
CHATO,CHAUZAN TOTORILLAS,CHI
CHIBU,CHIBULEO,TUN
CHIC,CHICAN,AZU
CHIG,CHIGUILPE,PIC
CHILA,CHILLANES,BOL
CHIM,COM. CHIMBORAZO,CHI
CHIMB,CHIMBO,BOL
CHO,CHONE,MANA
CHONT,CHONTAMARCA,CAÑAR
CHU,CHUNCHI,CHI
CHUWI,CHUWITAYU,PAST
CHWI,CHUWITATU,PAST
CMP,PULL CHICO,CHI
CNT,CANUTO,MANA
CO,COCAN,CHI
COCA,COCA,ORELA
COCH,COCHANCAY,CAÑAR
COL,COLTA,CHI
COLUM,COLUMBE,CHI
CONCO,CONCORDIA,PIC
CONOC,CONOCOTO,PIC
COTUN,COTUNDO,NAPO
CTCH,COTACACHI,IMB
CUE,CUENCA,AZU
CUM,CUMANDA,CHI
CUMBA,CUMBAYA,PIC
CUSUB,CUSUBAMBA,PP
CUYA,CUYABENO,SUCBI
DAYU,DAYUMA,ORELA
DES,DESCONOCIDA,DES
DUR,DURAN,GUA
ECHEA,ECHEANDIA,BOL
EGUA,EL GUABO,ELORO
ELALF,ELOY ALFARO,GUA
ELCAR,EL CARMEN,MANA
ELCO,EL CORAZON,PP
ELEMP,EL EMPALME,GUA
ELF,EL ESFUERZO,PIC
ELLI,EL LIMO,LOJ
ELOY,ELOY ALFARO,ESM
ELPL,EL PLACER,ESM
ELRIO,EL LIRIO,CHI
ELTRO,EL TROJE,CHI
EPLAY,EL PLAYON,SUCBI
