strCodigo;strDescripcion;dtFechaInic;dtFechaFin
P0001;MARZO 2004 - AGOSTO 2004;1/03/04;31/08/04
P0002;SEPTIEMBRE 2004 - FEBRERO 2005;1/09/04;6/03/05
P0003;MARZO 2005 - AGOSTO 2005;7/03/05;31/08/05
P0004;SEPTIEMBRE 2005 - FEBRERO 2006;9/09/05;12/03/06
P0005;MARZO 2006 - AGOSTO 2006;13/03/06;18/08/06
P0006;SEPTIEMBRE 2006 - FEBRERO 2007;18/09/06;5/03/07
P0007;MARZO 2007 - AGOSTO 2007;5/03/07;16/08/07
P0008;SEPTIEMBRE 2007 - FEBRERO 2008;10/09/07;27/02/08
P0009;MARZO - AGOSTO 2008;28/02/08;30/07/08
P0010;SEPTIEMBRE 2008 - FEBRERO 2009;1/09/08;15/02/09
P0011;FEBRERO 2009 - JULIO 2009;16/02/09;31/07/09
P0012;AGOSTO 2009 - FEBRERO 2010;31/08/09;28/02/10
P0013;MARZO - AGOSTO 2010;1/03/10;30/07/10
P0014;SEPTIEMBRE 2010 - FEBRERO 2011;29/08/10;28/02/11
R001;REMEDIAL 2008;1/08/08;5/09/08
R002;REMEDIAL 2009;1/08/09;29/08/09
R003;REMEDIAL 2010;30/07/10;30/08/10
P0019;15 MARZO - 23 JULIO 2013;1/03/13;30/07/13
P0020;13 SEPTIEMBRE 2014 - 4 FEBRERO 2015;13/09/14;23/02/15
P0015;21 MARZO -  3 AGOSTO 2011;21/03/11;3/08/11
P0016;3 OCTUBRE 2011 -  28 FEBRERO 2012;3/10/11;28/02/12
P0017;19 MARZO - 27  JULIO  2012;19/03/12;27/07/12
P0018;1 SEPTIEMBRE - 28  FEBRERO  2013;1/09/12;28/02/13
